"","slug","id","uuid","observed_on","user_login","longitude","latitude","quality_grade","captive","iconic_taxon_name","taxon.id","taxon.name"
"1","cypress-hills-bioblitz-2025",301114652,"6d18ef28-7410-4267-bfb4-a958bfdae4b7","2025-06-07","nacairns",-110.05976,49.6619833333,"research",FALSE,"Animalia",417250,"Dicrocoelium dendriticum"
"2","cypress-hills-bioblitz-2025",301114662,"b76502c9-2578-4fb4-8f34-16f6f292dbf2","2025-06-07","nacairns",-110.0617733333,49.66193,"research",FALSE,"Insecta",1600151,"Diodontus adamsi"
"3","cypress-hills-bioblitz-2025",302004028,"1bfcb020-5401-41fa-996e-212ee2e0d1d5","2025-06-07","matthias22",-110.05982,49.66196,"research",FALSE,"Animalia",417250,"Dicrocoelium dendriticum"
"4","cypress-hills-bioblitz-2025",302007909,"21f49a6e-ad39-46d1-aca4-42ab3015f5a9","2025-06-07","matthias22",-110.061946,49.661968,"research",FALSE,"Insecta",1600151,"Diodontus adamsi"
"5","cypress-hills-bioblitz-2025",297129805,"c7c116a9-0a43-4bec-9c3c-d4a7818c6c6c","2025-06-08","floatek",-110.2156324603,49.6442762794,"needs_id",FALSE,"Insecta",215134,"Bembidion timidum"
"6","cypress-hills-bioblitz-2025",294199826,"6b284398-6e43-421e-b178-8f7cd573d41f","2025-06-07","floatek",-110.0276042085,49.6546050947,"needs_id",FALSE,"Insecta",215134,"Bembidion timidum"
"7","cypress-hills-bioblitz-2025",294722538,"cc247dad-94b5-44f7-b53e-00a88e6a0b69","2025-06-08","floatek",-110.0947790874,49.6181108995,"needs_id",FALSE,"Insecta",215134,"Bembidion timidum"
"8","cypress-hills-bioblitz-2025",290311585,"21b5f4f8-25a4-4769-b658-92728d4473d9","2025-06-07","floatek",-110.2962687293,49.6159861972,"research",FALSE,"Insecta",213129,"Amara coelebs"
"9","cypress-hills-bioblitz-2025",289948111,"702cd8c7-21d0-49e5-a579-a72d799286d6","2025-06-08","justin734",-110.2612409997,49.6562148,"research",FALSE,"Animalia",417250,"Dicrocoelium dendriticum"
"10","fundy-trail-ocean-week-fundy-blitz-the-gap",288231416,"beed3a68-0457-4936-b5ca-7ecdf3cd994e","2025-06-06","cody654",-65.3722573,45.4240564997,"research",FALSE,"Mollusca",418792,"Phorcus lineatus"
"11","blitz-the-gap-quebec-soil-fauna",311306269,"64289c30-b976-4161-bd07-5d420ea5893c","2025-08-27","lauraj_rl",-72.9644897102,46.4856765151,"research",FALSE,"Animalia",261723,"Xenylla welchi"
"12","bamfield-spider-blitz-2025",318087894,"682f2851-855d-4ca6-aed1-605aef573b2f","2025-09-26","thomasbarbin",-125.0350723995,48.8347674707,"research",FALSE,"Arachnida",217943,"Cybaeina minuta"
"13","bamfield-spider-blitz-2025",318131525,"1084b3b4-4b7e-4132-a7dc-c2a674982e66","2025-09-27","thomasbarbin",-125.0957492717,48.809384605,"research",FALSE,"Arachnida",233675,"Wubana suprema"
"14","bamfield-spider-blitz-2025",317925034,"b3577adf-4ee4-4355-b179-07625a6ccc7a","2025-09-26","thomasbarbin",-125.0322610333,48.83587204,"research",FALSE,"Arachnida",217943,"Cybaeina minuta"
"15","cortes-island-2025-northern-wilds-bioblitz",318353744,"a5943d68-a1db-40c6-ba39-c0dee8627e63","2025-09-27","juliakcarr",-124.967201,50.159946,"research",FALSE,"Fungi",1556444,"Phyllactinia holodisci"
"16","cortes-island-2025-northern-wilds-bioblitz",318478088,"a4d1a105-2ee2-4e41-b331-28492c5b31a0","2025-09-26","fmcghee",-124.9754260878,50.1937672759,"research",FALSE,"Animalia",1643989,"Thalassaphorura debilis"
"17","cortes-island-2025-northern-wilds-bioblitz",318129713,"3f4123f6-33e6-447b-b27f-e45f382140cb","2025-09-27","gemmatarling",-124.967789,50.159958,"needs_id",FALSE,"Fungi",1556444,"Phyllactinia holodisci"
"18","cortes-island-2025-northern-wilds-bioblitz",318141460,"8d530871-0de6-4b70-8d92-6c8fd8fc3f85","2025-09-27","abbyhyde",-124.967155,50.1596945,"research",FALSE,"Fungi",1556444,"Phyllactinia holodisci"
"19","cortes-island-2025-northern-wilds-bioblitz",318235942,"b23d44e2-1ed3-4d65-87fa-59f50fee3e9f","2025-09-27","doviende",-124.9759252783,50.1934758333,"research",FALSE,"Insecta",458252,"Paramblopusa borealis"
"20","cortes-island-2025-northern-wilds-bioblitz",318235984,"eb9cf0aa-463f-42f7-a8d2-eb5b2e247eb3","2025-09-27","doviende",-124.974915555,50.1939572217,"research",FALSE,"Animalia",1643513,"Oudemansia georgia"
"21","cortes-island-2025-northern-wilds-bioblitz",318235988,"b164ca59-016b-4ca5-9baf-69db6fd7b05c","2025-09-27","doviende",-124.9752727783,50.193680555,"research",FALSE,"Animalia",1643513,"Oudemansia georgia"
"22","cortes-island-2025-northern-wilds-bioblitz",318235990,"c51d8456-cc28-4e52-81dc-f3e45f324c53","2025-09-27","doviende",-124.9752658333,50.193676945,"research",FALSE,"Animalia",1643513,"Oudemansia georgia"
"23","cortes-island-2025-northern-wilds-bioblitz",317899598,"69f63dc9-8b22-4328-a9fe-bdbe20eb5929","2025-09-26","doviende",-124.9821391667,50.2074172217,"research",FALSE,"Animalia",261721,"Xenylla humicola"
"24","cortes-island-2025-northern-wilds-bioblitz",317899461,"7017db20-0eb9-4f76-a90d-f11fe4bd848c","2025-09-26","doviende",-124.9751477783,50.19366,"research",FALSE,"Animalia",1643989,"Thalassaphorura debilis"
"25","cortes-island-2025-northern-wilds-bioblitz",317690577,"33174bea-1aff-471e-96d3-288bd201b298","2025-09-27","abbyhyde",-124.9753917558,50.1939444217,"research",FALSE,"Animalia",1643513,"Oudemansia georgia"
"26","cortes-island-2025-northern-wilds-bioblitz",317690579,"511e961d-3451-4fd3-bbc4-5a654ad08425","2025-09-27","abbyhyde",-124.9753980709,50.1939658366,"research",FALSE,"Animalia",1643513,"Oudemansia georgia"
"27","limestone-barrens-of-newfoundland",298435446,"2da0fa22-fa19-4c6e-826a-d81bcec02f15","2025-07-13","ibycter",-57.5252,50.38121,"research",FALSE,"Arachnida",222457,"Iviella newfoundlandensis"
